N;F0;PER;d0;v0;collision
4;-4;0.310000;7027000;17;0
5;-7;0.420000;8543000;56;0
6;-6;0.230000;7754000;38;0
8;-3;0.300000;7238000;54;0
4;-5;0.430000;6761000;76;0
8;-7;0.270000;8013000;83;0
3;-6;0.470000;7839000;85;0
6;-6;0.260000;6168000;22;0
5;-8;0.390000;8167000;45;0
7;-8;0.250000;7273000;10;0
3;-4;0.250000;5307000;60;0
3;-4;0.210000;5793000;77;0
8;-6;0.430000;4415000;67;1
6;-3;0.450000;7632000;63;0
4;-5;0.480000;5658000;47;0
8;-7;0.260000;7959000;88;0
3;-2;0.440000;7064000;15;0
5;-2;0.440000;6647000;73;0
7;-4;0.250000;8378000;56;0
6;-8;0.380000;4853000;46;0
7;-4;0.360000;8737000;69;0
3;-2;0.430000;5900000;55;0
5;-3;0.260000;8128000;22;0
5;-8;0.280000;8868000;17;0
8;-5;0.200000;6902000;28;0
8;-4;0.200000;5331000;20;0
4;-2;0.430000;5691000;47;0
7;-8;0.380000;6320000;73;0
5;-7;0.250000;8310000;76;0
5;-8;0.340000;8504000;86;0
4;-1;0.370000;4255000;82;0
6;-2;0.230000;6420000;14;0
5;-8;0.240000;6230000;83;0
5;-4;0.350000;6181000;34;0
6;-2;0.460000;5369000;84;0
8;-6;0.370000;6327000;37;0
5;-2;0.380000;8434000;15;0
4;-3;0.400000;6656000;50;0
5;-3;0.250000;7310000;63;0
3;-1;0.360000;4013000;73;0
6;-8;0.340000;7910000;56;0
6;-3;0.310000;4287000;78;0
5;-8;0.300000;6404000;82;1
3;-1;0.420000;6192000;22;0
6;-6;0.330000;7497000;36;0
8;-8;0.250000;8604000;40;0
4;-5;0.210000;4097000;17;0
7;-2;0.340000;5535000;86;0
4;-3;0.310000;6751000;44;0
5;-2;0.390000;6748000;43;0
5;-3;0.240000;7797000;38;0
6;-8;0.350000;7023000;88;0
5;-3;0.270000;7362000;88;0
4;-5;0.450000;8944000;55;0
8;-5;0.450000;8561000;73;0
3;-7;0.260000;7785000;16;0
7;-8;0.380000;5405000;32;0
4;-4;0.380000;4593000;27;0
5;-2;0.330000;5492000;52;0
8;-5;0.330000;4289000;25;0
8;-1;0.230000;6635000;81;0
6;-8;0.410000;7631000;55;0
4;-8;0.240000;7184000;51;0
7;-7;0.320000;5064000;32;0
4;-2;0.350000;7704000;35;0
4;-8;0.310000;8375000;62;0
3;-7;0.460000;6165000;41;0
4;-7;0.390000;8364000;61;0
6;-8;0.270000;5556000;34;0
4;-4;0.440000;4432000;30;0
3;-2;0.200000;4309000;80;0
4;-7;0.420000;5417000;70;0
6;-8;0.290000;5074000;83;0
7;-5;0.380000;4893000;32;0
3;-5;0.490000;7738000;44;0
8;-7;0.350000;6509000;51;0
8;-8;0.280000;5645000;79;0
8;-7;0.480000;4659000;37;0
3;-5;0.200000;5412000;46;0
6;-7;0.440000;4745000;71;1
6;-2;0.400000;5018000;37;0
3;-5;0.420000;5546000;61;0
8;-8;0.250000;7981000;79;1
5;-6;0.360000;7198000;89;0
6;-4;0.470000;8909000;19;0
4;-6;0.320000;5176000;26;0
5;-3;0.450000;7393000;19;0
6;-6;0.320000;4385000;21;0
5;-5;0.480000;4667000;80;0
6;-8;0.220000;6482000;25;0
8;-3;0.200000;4973000;26;0
6;-6;0.360000;8179000;67;0
5;-2;0.330000;6623000;67;0
8;-7;0.270000;5795000;15;0
3;-6;0.320000;7058000;35;0
8;-2;0.250000;8891000;74;0
7;-8;0.390000;5164000;13;0
6;-1;0.270000;6177000;80;0
4;-4;0.250000;7568000;23;0
5;-6;0.200000;5707000;50;0
7;-5;0.440000;7538000;35;0
8;-5;0.400000;8040000;52;0
7;-6;0.490000;8241000;63;0
6;-3;0.300000;7652000;57;0
4;-4;0.210000;8559000;49;0
5;-7;0.350000;5577000;49;0
4;-3;0.360000;8600000;59;0
5;-2;0.310000;4243000;86;0
4;-8;0.450000;6716000;12;0
8;-3;0.210000;6772000;73;0
6;-6;0.400000;8673000;12;0
5;-2;0.280000;8172000;15;0
4;-2;0.240000;4944000;85;0
4;-2;0.420000;6363000;81;0
5;-6;0.380000;4315000;57;0
3;-3;0.470000;4907000;10;0
5;-2;0.440000;8366000;49;0
6;-8;0.360000;7011000;53;0
8;-5;0.450000;8549000;78;0
4;-3;0.340000;6435000;86;0
5;-2;0.430000;7215000;49;0
6;-6;0.400000;6535000;40;0
4;-2;0.270000;8121000;20;0
5;-3;0.270000;5047000;27;0
4;-5;0.380000;6729000;76;0
5;-7;0.340000;7400000;64;0
8;-7;0.280000;6785000;23;0
7;-5;0.400000;4154000;67;0
6;-3;0.400000;6081000;35;0
5;-8;0.390000;4806000;47;0
8;-7;0.470000;8078000;10;0
3;-3;0.240000;5639000;31;0
3;-7;0.470000;6894000;24;0
3;-5;0.200000;8042000;55;0
3;-2;0.350000;8883000;66;0
8;-7;0.370000;4590000;21;0
7;-8;0.350000;5779000;33;0
5;-6;0.460000;4601000;60;0
3;-4;0.320000;7996000;45;0
5;-8;0.380000;7853000;82;0
8;-8;0.450000;8665000;31;0
7;-2;0.320000;5041000;80;0
6;-3;0.480000;5131000;48;0
7;-7;0.350000;6904000;78;0
3;-5;0.460000;8224000;26;0
5;-4;0.240000;6714000;14;0
8;-8;0.270000;4931000;89;0
5;-7;0.420000;5193000;67;0
5;-5;0.420000;5026000;57;0
7;-6;0.490000;4873000;53;0
6;-4;0.230000;8437000;35;0
